event_id,attendee_id
e1,a925
e1,a464
e1,a769
e1,a611
e1,a799
e1,a8
e1,a616
e1,a622
e1,a637
e1,a35
e1,a936
e1,a751
e1,a907
e1,a957
e1,a846
e1,a761
e1,a274
e1,a267
e1,a508
e1,a152
e1,a368
e1,a916
e1,a448
e1,a323
e1,a804
e1,a315
e1,a986
e1,a590
e1,a872
e1,a324
e1,a756
e1,a994
e1,a63
e1,a108
e1,a384
e1,a476
e1,a196
e1,a735
e1,a836
e1,a414
e1,a114
e1,a236
e1,a950
e1,a695
e1,a282
e1,a809
e1,a151
e1,a184
e1,a531
e1,a292
e1,a860
e1,a534
e1,a29
e1,a47
e1,a266
e1,a650
e1,a336
e1,a432
e1,a358
e1,a406
e1,a188
e1,a866
e1,a643
e1,a257
e1,a495
e1,a103
e1,a840
e1,a346
e1,a744
e1,a552
e1,a987
e1,a265
e1,a190
e1,a770
e1,a772
e1,a935
e1,a69
e1,a214
e1,a66
e1,a352
e1,a762
e2,a884
e2,a646
e2,a790
e2,a723
e2,a278
e2,a611
e2,a433
e2,a597
e2,a854
e2,a848
e2,a710
e2,a219
e2,a46
e2,a352
e2,a947
e2,a642
e2,a690
e2,a436
e2,a386
e2,a683
e2,a954
e2,a81
e2,a634
e2,a229
e2,a543
e2,a565
e2,a702
e2,a475
e2,a170
e2,a61
e2,a980
e2,a180
e2,a545
e2,a927
e2,a93
e2,a430
e2,a523
e2,a27
e2,a633
e2,a754
e2,a141
e2,a80
e2,a773
e2,a866
e2,a919
e2,a648
e2,a571
e2,a10
e2,a82
e2,a226
e2,a444
e2,a831
e2,a714
e2,a298
e2,a76
e2,a69
e2,a474
e2,a469
e2,a434
e2,a198
e2,a868
e2,a856
e2,a48
e2,a972
e2,a151
e2,a39
e2,a360
e2,a13
e2,a946
e2,a635
e2,a959
e2,a258
e2,a806
e2,a87
e2,a259
e2,a721
e2,a653
e2,a477
e2,a425
e2,a660
e2,a6
e2,a859
e2,a334
e2,a417
e2,a14
e2,a188
e2,a720
e2,a839
e2,a41
e2,a202
e3,a106
e3,a485
e3,a848
e3,a281
e3,a663
e3,a381
e3,a623
e3,a165
e3,a857
e3,a711
e3,a360
e3,a671
e3,a84
e3,a821
e3,a578
e3,a389
e3,a134
e3,a324
e3,a515
e3,a452
e3,a843
e3,a507
e3,a921
e3,a188
e3,a775
e3,a929
e3,a170
e3,a368
e3,a656
e3,a952
e3,a593
e3,a89
e3,a744
e3,a22
e3,a153
e3,a913
e3,a800
e3,a24
e3,a54
e3,a403
e3,a1000
e3,a533
e3,a85
e3,a71
e3,a17
e3,a749
e3,a505
e3,a330
e3,a101
e3,a388
e3,a522
e3,a90
e3,a710
e3,a659
e4,a37
e4,a235
e4,a645
e4,a437
e4,a165
e4,a751
e4,a687
e4,a488
e4,a812
e4,a863
e4,a110
e4,a217
e4,a486
e4,a809
e4,a643
e4,a153
e4,a289
e4,a244
e4,a923
e4,a144
e4,a865
e4,a961
e4,a44
e4,a909
e4,a479
e4,a363
e4,a998
e4,a104
e4,a661
e4,a463
e4,a919
e4,a535
e4,a905
e4,a593
e4,a877
e4,a99
e4,a943
e4,a313
e4,a889
e4,a418
e4,a357
e4,a920
e4,a914
e4,a983
e4,a501
e4,a401
e4,a619
e4,a14
e4,a310
e4,a158
e5,a79
e5,a884
e5,a72
e5,a60
e5,a448
e5,a82
e5,a535
e5,a226
e5,a944
e5,a331
e5,a813
e5,a863
e5,a689
e5,a326
e5,a402
e5,a889
e5,a811
e5,a716
e5,a140
e5,a571
e5,a436
e5,a686
e5,a450
e5,a182
e5,a342
e5,a11
e5,a633
e5,a433
e5,a640
e5,a642
e5,a288
e5,a39
e5,a379
e5,a181
e5,a309
e5,a653
e5,a597
e5,a84
e5,a366
e5,a715
e5,a769
e5,a734
e5,a694
e5,a40
e5,a612
e5,a861
e5,a712
e5,a253
e5,a144
e5,a510
e5,a624
e5,a154
e5,a474
e5,a176
e5,a493
e5,a167
e5,a383
e5,a2
e5,a97
e5,a594
e5,a787
e5,a393
e6,a812
e6,a186
e6,a352
e6,a748
e6,a473
e6,a266
e6,a844
e6,a386
e6,a366
e6,a154
e6,a982
e6,a94
e6,a496
e6,a421
e6,a271
e6,a848
e6,a964
e6,a743
e6,a823
e6,a401
e6,a95
e6,a633
e6,a886
e6,a236
e6,a131
e6,a253
e6,a8
e6,a256
e6,a400
e6,a439
e6,a438
e6,a231
e6,a987
e6,a319
e6,a435
e6,a604
e6,a831
e6,a783
e6,a938
e6,a546
e6,a565
e6,a440
e6,a39
e6,a140
e6,a60
e6,a920
e6,a356
e6,a730
e6,a885
e6,a780
e6,a895
e6,a11
e6,a808
e6,a404
e6,a923
e6,a999
e6,a575
e6,a997
e6,a750
e6,a966
e6,a144
e6,a337
e6,a192
e6,a759
e6,a600
e6,a486
e6,a167
e6,a707
e6,a957
e6,a79
e6,a669
e6,a741
e6,a91
e6,a423
e6,a493
e6,a735
e7,a816
e7,a643
e7,a759
e7,a158
e7,a557
e7,a732
e7,a83
e7,a916
e7,a699
e7,a48
e7,a439
e7,a737
e7,a1
e7,a331
e7,a276
e7,a608
e7,a507
e7,a815
e7,a12
e7,a109
e7,a38
e7,a324
e7,a865
e7,a41
e7,a203
e7,a779
e7,a692
e7,a535
e7,a119
e7,a694
e7,a377
e7,a512
e7,a155
e7,a330
e7,a400
e7,a767
e7,a408
e7,a342
e7,a927
e7,a934
e7,a532
e7,a222
e7,a328
e7,a147
e7,a404
e7,a92
e7,a413
e7,a145
e7,a193
e7,a536
e7,a796
e7,a382
e7,a399
e7,a475
e7,a708
e7,a719
e7,a748
e7,a490
e7,a149
e7,a720
e8,a759
e8,a283
e8,a286
e8,a138
e8,a67
e8,a585
e8,a543
e8,a377
e8,a687
e8,a875
e8,a299
e8,a796
e8,a127
e8,a571
e8,a551
e8,a366
e8,a758
e8,a921
e8,a710
e8,a87
e8,a540
e8,a325
e8,a439
e8,a287
e8,a423
e8,a438
e8,a388
e8,a602
e8,a811
e8,a804
e8,a190
e8,a597
e8,a282
e8,a562
e8,a646
e8,a546
e8,a691
e8,a801
e8,a29
e8,a586
e8,a880
e8,a40
e8,a48
e8,a810
e8,a493
e8,a521
e8,a699
e8,a5
