A_ID,Gender,Education,Specialization,interests,skills,Yearly salary in pounds,Certifications,Job_status,Job_title,Highest Qualification,processed_interests,processed_skills
A1,Male,B.Sc,Physics,News Coverage;Social Justice;Content Writing;Govt. Job,Accounting Skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills,57,No,Yes,Sub Editor,Master of journalism,"['news coverage', 'social justice', 'content writing', 'govt. job']","['accounting skills', 'critical thinking', 'gathering information', 'artistic', 'creative skills', 'analytical skills']"
A2,Male,Bachelor of Management Studies,Business Administration,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",61,No,Yes,Business Consultant ,Master in Commerce,"['sales', 'market', 'entrepreneurship']","['business knowledge', 'people management', 'communication skills', 'logical skills', 'problem solving skills', 'read', 'sales']"
A3,Female,B.Sc,Computer Science Engineering,"Take risk for Profits, Teaching, Technology","Accounting Skills, Business Knowledge, Programming, People Management, Leadership, Creativity Skills, Team work, Excel, Presentation Skills, Problem Solving skills, Reporting",77,C programming,No,Office assistant and acoounts,Masters in Computer Science,"['take risk for profits', 'teach', 'technology']","['accounting skills', 'business knowledge', 'program', 'people management', 'leadership', 'creativity skills', 'team work', 'excel', 'presentation skills', 'problem solving skills', 'report']"
A4,Male,Bachelor of Management Studies,Business Administration,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",50,No,Yes,Business Consultant ,Master in Commerce,"['sales', 'market', 'entrepreneurship']","['business knowledge', 'people management', 'communication skills', 'logical skills', 'problem solving skills', 'read', 'sales']"
A5,Male,B.Sc,Physics,News Coverage;Social Justice;Content Writing;Govt. Job,Accounting Skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills,79,No,Yes,Sub Editor,Master of journalism,"['news coverage', 'social justice', 'content writing', 'govt. job']","['accounting skills', 'critical thinking', 'gathering information', 'artistic', 'creative skills', 'analytical skills']"
A6,Male,B.Com,Accountancy,Financial Analysis,"Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau",57,Alteryx and Tableau,No,Tele-caller,Pursuing Certified Management Accountant of United States,['financial analysis'],"['accounting skills', 'analytic thinking', 'cost accounting', 'team work', 'excel', 'problem solving skills', 'write', 'tableau']"
A7,Female,B.Sc,Biotechnology,Research;Sales/Marketing;Teaching;Trading;Understand human behaviour,Active Listening;Critical Thinking;Business Knowledge;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Hospitality;Client management;Good communication skills,79,Pioneer lab course work ,Yes,Asst. Manager ,Mba(H.A) ,"['research', 'sales', 'market', 'teach', 'trade', 'understand human behaviour']","['active listening', 'critical thinking', 'business knowledge', 'people management', 'communication skills', 'leadership', 'problem solving skills', 'risk management skills', 'writing skills', 'hospitality', 'client management', 'good communication skills']"
A8,Male,Bachelor of Management Studies,Business Administration,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",60,No,Yes,Business Consultant ,Master in Commerce,"['sales', 'market', 'entrepreneurship']","['business knowledge', 'people management', 'communication skills', 'logical skills', 'problem solving skills', 'read', 'sales']"
A9,Male,B.Tech,Electronics and Communication Engineering,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",75,No,Yes,Teaching,M.Tech,['teach'],"['active listening', 'work under pressure', 'team work', 'presentation skills', 'read']"
A10,Female,B.Sc,Biotechnology,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",49,Data Science and Artificial Intelligence programe,Yes,Scientist,Masters in Science,"['research', 'trade', 'understand human behaviour']","['ai', 'ml', 'python', 'critical thinking', 'analytic thinking', 'artistic skills', 'work under pressure', 'team work', 'logical skills', 'presentation skills']"
A11,Male,BCA,Software Development,Financial Analysis;Research;Social Justice;Teaching;Trading;Content Writing,Business Knowledge;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );C++;Linux;Python;Java,52,C++,Yes,Entry Level Software Engineer,Master's In computer Application (MCA),"['financial analysis', 'research', 'social justice', 'teach', 'trade', 'content writing']","['business knowledge', 'analytical skills', 'data visualization skills( power bi', 'tableau )', 'c++', 'linux', 'python', 'java']"
